date,Net Sales ($mil),Inventories ($mil),Total Current Assets ($mil),Selling/General/Admin ($mil),YTD Net Income ($mil),YTD Net Cash from Oper Actv ($mil)
12/31/22,5133,1942,6770,761,1504,2174
09/30/22,5402,1976,6622,808,1822,1413
06/30/22,5389,1897,7046,742,871,978
03/31/22,5237,1746,7184,765,360,588
12/31/21,5086,1814,7096,302,1754,2030
09/30/21,5714,2053,9896,880,1647,1923
06/30/21,5616,1828,12226,880,783,1278
03/31/21,5363,1828,12167,767,349,512
12/31/20,5239,2050,11236,812,482,3063
09/30/20,5123,2007,11288,737,329,2274
06/30/20,4866,2010,6599,697,125,1539
03/31/20,5352,2002,7215,825,-141,649
12/31/19,5498,2208,6639,837,1220,3610
09/30/19,5568,2194,7051,782,1054,2682
06/30/19,5667,2224,7388,786,712,1800
03/31/19,5643,2301,7062,802,426,733
12/31/18,5951,2241,6996,847,2017,3226
09/30/18,5901,2130,7318,802,1699,2405
06/30/18,5833,2050,7272,854,1137,1464
03/31/18,5621,2057,7260,787,730,663
12/31/17,5711,2313,8277,657,2144,1757
09/30/17,5913,2465,7211,817,684,569
06/30/17,5772,2361,7237,812,289,1278
03/31/17,5511,2394,6721,801,209,633
12/31/16,5381,2438,6969,782,902,2478
09/30/16,5266,2222,8103,733,683,1566
06/30/16,5322,2165,6871,725,374,1225
03/31/16,5110,2217,6792,696,334,620
12/31/15,5443,2228,6477,767,917,2580
09/30/15,5691,2340,12754,751,739,1590
06/30/15,5714,2424,7727,770,529,753
03/31/15,5517,2437,7660,763,311,638
12/31/14,5943,2424,7959,586,536,3077
09/30/14,6051,2493,8139,861,408,1933
06/30/14,7213,2798,8751,939,59,1000
03/31/14,7014,2809,8733,928,-99,471
12/31/13,7249,2825,9025,974,1378,3028
09/30/13,7406,2841,9475,1010,948,1991
06/30/13,7335,2745,9268,964,572,1279
03/31/13,7090,2793,8981,989,315,531
12/31/12,7075,2730,8905,991,799,2967
09/30/12,7026,2667,8993,930,567,2254
06/30/12,7077,2650,9281,922,329,1375
03/31/12,6655,2748,9212,860,192,581
12/31/11,6367,2320,10456,778,1306,2675
09/30/11,6632,2326,9935,829,1045,2038
06/30/11,6648,2405,9416,845,530,1162
03/31/11,6387,2390,8488,825,298,514
12/31/10,6531,2347,8028,865,665,1631
09/30/10,6720,2336,7808,843,346,587
06/30/10,6121,2212,7729,802,-53,800
03/31/10,5807,2145,7549,738,-153,159
12/31/09,5977,2179,7551,814,663,4655
09/30/09,5919,2278,7517,826,764,3570
06/30/09,5802,2209,7549,787,393,2189
03/31/09,5668,2340,7137,779,257,794
12/31/08,6546,2495,7360,745,-1282,2669
09/30/08,6808,2766,7890,883,509,1956
06/30/08,5807,2219,10019,804,360,1010
03/31/08,5668,2147,6712,801,133,434
12/31/07,5841,2071,6735,807,1168,1887
09/30/07,5541,2030,7505,752,841,1351
06/30/07,5291,2013,7424,742,624,635
03/31/07,5217,2009,8077,733,434,252
12/31/06,5324,1909,8637,643,1050,1223
09/30/06,5867,2306,6784,817,-921,1638
06/30/06,6270,2334,7721,840,-1122,872
03/31/06,5668,2315,8096,838,-1237,246
12/31/05,6134,2434,7409,739,1100,1510
09/30/05,6000,2427,7063,786,1177,1372
06/30/05,6500,2830,8031,819,154,579
03/31/05,6600,2830,8689,852,77,155
12/31/04,6600,2718,9319,789,-35,2388
09/30/04,6578,2687,9912,815,-283,1298
06/30/04,6500,2739,8572,828,266,695
03/31/04,6400,2813,9415,869,73,224
12/31/03,6500,2983,9337,845,302,1822
09/30/03,6400,2942,8513,831,254,1302
06/30/03,6200,3012,8569,823,132,693
03/31/03,6100,2993,9199,831,44,127
12/31/02,6300,2879,7738,920,-880,2094
09/30/02,6400,2846,8015,790,425,1428
06/30/02,6300,2885,8129,826,280,708
03/31/02,6000,2740,8521,857,65,222
12/31/01,6300,2733,8312,900,-1204,1714
09/30/01,6500,2740,9933,884,-632,1026
06/30/01,6700,2925,9466,930,-357,295
03/31/01,6900,3006,10147,935,-44,54
12/31/00,7200,3182,10455,978,142,2430
09/30/00,7801,3398,10164,951,513,1880
06/30/00,6780,3743,9534,895,648,968
03/31/00,6371,3306,8673,850,378,535
12/31/99,6300,3203,7241,1327,183,1728
09/30/99,6251,3188,7202,553,103,1157
06/30/99,5996,3078,7201,883,-39,703
03/31/99,4962,2651,5959,644,44,269
12/31/98,5027,2719,6010,689,236,1671
09/30/98,4939,2729,6549,623,182,1004
06/30/98,4707,2670,6055,618,161,533
03/31/98,4868,2720,5992,648,75,227
12/31/97,5100,2760,5945,1151,-151,1242
09/30/97,5100,2862,6226,456,-283,779
06/30/97,5000,2857,6193,444,-385,497
03/31/97,4900,2868,6212,668,34,241
12/31/96,5100,2840,5998,976,303,1739
09/30/96,5100,2876,6203,678,308,1249
06/30/96,5100,2788,6115,379,197,689
03/31/96,4800,2954,6372,595,98,352
12/31/95,5100,2784,5873,636,1153,2248
09/30/95,5100,2766,6102,593,#N/A,#N/A
06/30/95,5100,2687,6202,596,#N/A,#N/A
03/31/95,4500,2223,5278,524,#N/A,#N/A
12/31/94,4100,2075,4830,607,357,1160
09/30/94,3800,2051,4729,487,#N/A,#N/A
06/30/94,3633,2072,4637,433,#N/A,#N/A
03/31/94,3400,2078,4393,398,#N/A,#N/A
12/31/93,3400,2024,4401,462,289,929
09/30/93,3400,2007,4603,441,#N/A,#N/A
06/30/93,3500,1984,4631,458,#N/A,#N/A
03/31/93,3400,1910,4392,425,#N/A,#N/A
